mu,t_n,iteration,avg_significance,avg_purity
10,30,1,97.93470160765611,39.27398946306875
10,30,2,97.89874042191252,36.11993303076442
10,30,3,97.92628946955466,35.01938947636898
10,30,4,97.92698619689712,36.57502910049141
10,30,5,97.97542912718363,34.34664846593518
50,30,1,97.99554287330461,42.531170480640554
50,30,2,97.86906534148193,33.19682997717317
50,30,3,97.8792459717386,36.427508794631194
50,30,4,98.02722051333686,34.43966448026597
50,30,5,97.91320528541279,35.33011812404977
100,30,1,98.21838249485538,37.122405579674194
100,30,2,97.87000072232165,38.159792860149466
100,30,3,97.8965336388743,35.0880700863633
100,30,4,97.90122732608654,37.2548679940504
100,30,5,97.8864519727259,35.86333897521706
500,30,1,98.13465379657134,35.61458921687107
500,30,2,97.92656995775397,35.126847646748665
500,30,3,97.92594719111513,34.62604482881627
500,30,4,97.94362563946527,37.3066257170726
500,30,5,97.94501485665862,35.325784532145825
1000,30,1,98.23147776972726,39.85757528516234
1000,30,2,97.98989723996581,34.76166350941418
1000,30,3,97.94511884044101,34.51517145782273
1000,30,4,97.98887535651646,34.89685482140137
1000,30,5,97.91725597170613,36.059706637863215
